"U:0","U:1","U:2","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0565,-2.4864e-20,3.9854e-19,1.7411e-05,1.0152e-05,0.71506,1,7.446,7.446,0,0
1.0569,-2.4874e-20,3.987e-19,1.7292e-05,1.0151e-05,0.71463,1,7.497,7.497,0,0
1.0573,-2.4884e-20,3.9885e-19,1.7174e-05,1.015e-05,0.7142,1,7.548,7.548,0,0
1.0577,-2.4893e-20,3.9901e-19,1.7056e-05,1.0149e-05,0.71377,1,7.599,7.599,0,0
1.0581,-2.4903e-20,3.9916e-19,1.6945e-05,1.015e-05,0.71334,1,7.65,7.65,0,0
1.0585,-2.4912e-20,3.9931e-19,1.6834e-05,1.0151e-05,0.71291,1,7.701,7.701,0,0
1.0589,-2.4922e-20,3.9946e-19,1.6724e-05,1.0152e-05,0.71249,1,7.752,7.752,0,0
1.0593,-2.4931e-20,3.9962e-19,1.6614e-05,1.0153e-05,0.71206,1,7.803,7.803,0,0
1.0597,-2.4941e-20,3.9977e-19,1.6516e-05,1.0157e-05,0.71164,1,7.854,7.854,0,0
1.0601,-2.495e-20,3.9992e-19,1.6419e-05,1.0162e-05,0.71121,1,7.905,7.905,0,0
1.0605,-2.496e-20,4.0007e-19,1.6321e-05,1.0167e-05,0.71079,1,7.956,7.956,0,0
1.0609,-2.4969e-20,4.0022e-19,1.6225e-05,1.0172e-05,0.71036,1,8.007,8.007,0,0
1.0613,-2.4978e-20,4.0037e-19,1.6132e-05,1.0177e-05,0.70994,1,8.058,8.058,0,0
1.0617,-2.4988e-20,4.0052e-19,1.6039e-05,1.0183e-05,0.70952,1,8.109,8.109,0,0
1.0621,-2.4997e-20,4.0067e-19,1.5946e-05,1.0188e-05,0.7091,1,8.16,8.16,0,0
1.0625,-2.5006e-20,4.0082e-19,1.5857e-05,1.0194e-05,0.70868,1,8.211,8.211,0,0
1.0629,-2.5016e-20,4.0097e-19,1.5779e-05,1.0206e-05,0.70826,1,8.262,8.262,0,0
1.0633,-2.5025e-20,4.0111e-19,1.5701e-05,1.0217e-05,0.70784,1,8.313,8.313,0,0
1.0637,-2.5034e-20,4.0126e-19,1.5623e-05,1.0229e-05,0.70743,1,8.364,8.364,0,0
1.0641,-2.5043e-20,4.0141e-19,1.5545e-05,1.024e-05,0.70701,1,8.415,8.415,0,0
1.0645,-2.5052e-20,4.0156e-19,1.5468e-05,1.025e-05,0.70659,1,8.466,8.466,0,0
1.0649,-2.5062e-20,4.017e-19,1.5391e-05,1.026e-05,0.70618,1,8.517,8.517,0,0
1.0652,-2.5071e-20,4.0185e-19,1.5315e-05,1.027e-05,0.70577,1,8.568,8.568,0,0
1.0656,-2.508e-20,4.0199e-19,1.5242e-05,1.0283e-05,0.70535,1,8.619,8.619,0,0
1.066,-2.5089e-20,4.0214e-19,1.5178e-05,1.0299e-05,0.70494,1,8.67,8.67,0,0
1.0664,-2.5098e-20,4.0228e-19,1.5114e-05,1.0315e-05,0.70453,1,8.721,8.721,0,0
1.0668,-2.5107e-20,4.0243e-19,1.505e-05,1.0331e-05,0.70412,1,8.772,8.772,0,0
1.0672,-2.5116e-20,4.0257e-19,1.4987e-05,1.0347e-05,0.70371,1,8.823,8.823,0,0
1.0675,-2.5125e-20,4.0271e-19,1.4925e-05,1.0363e-05,0.70331,1,8.874,8.874,0,0
1.0679,-2.5134e-20,4.0286e-19,1.4862e-05,1.0378e-05,0.7029,1,8.925,8.925,0,0
1.0683,-2.5143e-20,4.03e-19,1.48e-05,1.0394e-05,0.70249,1,8.976,8.976,0,0
1.0687,-2.5151e-20,4.0314e-19,1.4741e-05,1.041e-05,0.70209,1,9.027,9.027,0,0
1.069,-2.516e-20,4.0328e-19,1.4684e-05,1.0428e-05,0.70168,1,9.078,9.078,0,0
1.0694,-2.5169e-20,4.0342e-19,1.4627e-05,1.0445e-05,0.70128,1,9.129,9.129,0,0
1.0698,-2.5178e-20,4.0357e-19,1.4571e-05,1.0463e-05,0.70088,1,9.18,9.18,0,0
1.0702,-2.5187e-20,4.0371e-19,1.4516e-05,1.048e-05,0.70048,1,9.231,9.231,0,0
1.0705,-2.5195e-20,4.0385e-19,1.4462e-05,1.0498e-05,0.70008,1,9.282,9.282,0,0
1.0709,-2.5204e-20,4.0399e-19,1.4409e-05,1.0516e-05,0.69968,1,9.333,9.333,0,0
1.0713,-2.5213e-20,4.0413e-19,1.4356e-05,1.0534e-05,0.69928,1,9.384,9.384,0,0
1.0716,-2.5221e-20,4.0426e-19,1.4303e-05,1.0551e-05,0.69888,1,9.435,9.435,0,0
1.072,-2.523e-20,4.044e-19,1.4251e-05,1.0568e-05,0.69849,1,9.486,9.486,0,0
1.0724,-2.5239e-20,4.0454e-19,1.4199e-05,1.0586e-05,0.69809,1,9.537,9.537,0,0
1.0727,-2.5247e-20,4.0468e-19,1.4146e-05,1.0603e-05,0.6977,1,9.588,9.588,0,0
1.0731,-2.5256e-20,4.0481e-19,1.4094e-05,1.0618e-05,0.69731,1,9.639,9.639,0,0
1.0735,-2.5264e-20,4.0495e-19,1.4041e-05,1.0633e-05,0.69692,1,9.69,9.69,0,0
1.0738,-2.5273e-20,4.0509e-19,1.3988e-05,1.0648e-05,0.69652,1,9.741,9.741,0,0
1.0742,-2.5281e-20,4.0522e-19,1.3935e-05,1.0663e-05,0.69613,1,9.792,9.792,0,0
1.0745,-2.529e-20,4.0536e-19,1.3882e-05,1.0676e-05,0.69575,1,9.843,9.843,0,0
1.0749,-2.5298e-20,4.0549e-19,1.3828e-05,1.0689e-05,0.69536,1,9.894,9.894,0,0
1.0753,-2.5306e-20,4.0563e-19,1.3775e-05,1.0701e-05,0.69497,1,9.945,9.945,0,0
1.0756,-2.5315e-20,4.0576e-19,1.3721e-05,1.0714e-05,0.69458,1,9.996,9.996,0,0
1.076,-2.5323e-20,4.059e-19,1.3665e-05,1.0723e-05,0.6942,1,10.047,10.047,0,0
1.0763,-2.5331e-20,4.0603e-19,1.3608e-05,1.0731e-05,0.69382,1,10.098,10.098,0,0
1.0767,-2.534e-20,4.0616e-19,1.3551e-05,1.0739e-05,0.69344,1,10.149,10.149,0,0
1.077,-2.5348e-20,4.0629e-19,1.3494e-05,1.0747e-05,0.69305,1,10.2,10.2,0,0
1.0774,-2.5356e-20,4.0643e-19,1.3435e-05,1.0752e-05,0.69268,1,10.251,10.251,0,0
1.0777,-2.5364e-20,4.0656e-19,1.3376e-05,1.0757e-05,0.6923,1,10.302,10.302,0,0
1.0781,-2.5373e-20,4.0669e-19,1.3317e-05,1.0761e-05,0.69192,1,10.353,10.353,0,0
1.0784,-2.5381e-20,4.0682e-19,1.3258e-05,1.0765e-05,0.69154,1,10.404,10.404,0,0
1.0788,-2.5389e-20,4.0695e-19,1.3193e-05,1.0763e-05,0.69117,1,10.455,10.455,0,0
1.0791,-2.5397e-20,4.0708e-19,1.3128e-05,1.076e-05,0.69079,1,10.506,10.506,0,0
1.0795,-2.5405e-20,4.0721e-19,1.3063e-05,1.0758e-05,0.69042,1,10.557,10.557,0,0
1.0798,-2.5413e-20,4.0734e-19,1.2997e-05,1.0754e-05,0.69004,1,10.608,10.608,0,0
1.0801,-2.5421e-20,4.0747e-19,1.2929e-05,1.0747e-05,0.68967,1,10.659,10.659,0,0
1.0805,-2.5429e-20,4.076e-19,1.2862e-05,1.074e-05,0.6893,1,10.71,10.71,0,0
1.0808,-2.5437e-20,4.0772e-19,1.2794e-05,1.0734e-05,0.68893,1,10.761,10.761,0,0
1.0812,-2.5445e-20,4.0785e-19,1.2725e-05,1.0725e-05,0.68856,1,10.812,10.812,0,0
1.0815,-2.5453e-20,4.0798e-19,1.2653e-05,1.0712e-05,0.6882,1,10.863,10.863,0,0
1.0818,-2.5461e-20,4.0811e-19,1.2582e-05,1.0699e-05,0.68783,1,10.914,10.914,0,0
1.0822,-2.5469e-20,4.0823e-19,1.251e-05,1.0686e-05,0.68746,1,10.965,10.965,0,0
1.0825,-2.5477e-20,4.0836e-19,1.2438e-05,1.0672e-05,0.6871,1,11.016,11.016,0,0
1.0828,-2.5485e-20,4.0848e-19,1.2366e-05,1.0656e-05,0.68674,1,11.067,11.067,0,0
1.0832,-2.5492e-20,4.0861e-19,1.2293e-05,1.0641e-05,0.68637,1,11.118,11.118,0,0
1.0835,-2.55e-20,4.0873e-19,1.2221e-05,1.0625e-05,0.68601,1,11.169,11.169,0,0
1.0838,-2.5508e-20,4.0886e-19,1.2158e-05,1.0617e-05,0.68565,1,11.22,11.22,0,0
1.0842,-2.5516e-20,4.0898e-19,1.2112e-05,1.0621e-05,0.68529,1,11.271,11.271,0,0
1.0845,-2.5524e-20,4.0911e-19,1.2065e-05,1.0625e-05,0.68493,1,11.322,11.322,0,0
1.0848,-2.5531e-20,4.0923e-19,1.2018e-05,1.0629e-05,0.68457,1,11.373,11.373,0,0
1.0851,-2.5539e-20,4.0936e-19,1.2005e-05,1.0663e-05,0.68422,1,11.424,11.424,0,0
1.0855,-2.5547e-20,4.0948e-19,1.2031e-05,1.0731e-05,0.68386,1,11.475,11.475,0,0
1.0858,-2.5554e-20,4.096e-19,1.2056e-05,1.0798e-05,0.68351,1,11.526,11.526,0,0
1.0861,-2.5562e-20,4.0972e-19,1.2081e-05,1.0866e-05,0.68315,1,11.577,11.577,0,0
1.0864,-2.5569e-20,4.0984e-19,1.2145e-05,1.0969e-05,0.6828,1,11.628,11.628,0,0
1.0868,-2.5577e-20,4.0996e-19,1.224e-05,1.11e-05,0.68245,1,11.679,11.679,0,0
1.0871,-2.5585e-20,4.1008e-19,1.2335e-05,1.1231e-05,0.6821,1,11.73,11.73,0,0
1.0874,-2.5592e-20,4.1021e-19,1.243e-05,1.1363e-05,0.68174,1,11.781,11.781,0,0
