"U:0","U:1","U:2","k","nut","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1147,2.1512e-14,3.3907e-16,0.0014014,0.002556,0.85106,1,17.484,17.484,0,0
1.1154,2.1526e-14,3.3929e-16,0.0014011,0.0025616,0.85031,1,17.608,17.608,0,0
1.1161,2.1539e-14,3.395e-16,0.0014024,0.0025702,0.84955,1,17.732,17.732,0,0
1.1168,2.1553e-14,3.3972e-16,0.0014081,0.0025878,0.84879,1,17.856,17.856,0,0
1.1175,2.1567e-14,3.3994e-16,0.0014137,0.0026055,0.84803,1,17.98,17.98,0,0
1.1182,2.1581e-14,3.4015e-16,0.0014251,0.002647,0.84727,1,18.104,18.104,0,0
1.1189,2.1594e-14,3.4037e-16,0.0014376,0.0026931,0.84651,1,18.228,18.228,0,0
1.1196,2.1608e-14,3.4058e-16,0.0014484,0.0027306,0.84576,1,18.352,18.352,0,0
1.1203,2.1621e-14,3.4079e-16,0.0014567,0.0027559,0.84501,1,18.476,18.476,0,0
1.121,2.1635e-14,3.4101e-16,0.001465,0.0027813,0.84426,1,18.6,18.6,0,0
1.1217,2.1648e-14,3.4122e-16,0.0014656,0.0027815,0.84351,1,18.724,18.724,0,0
1.1224,2.1662e-14,3.4143e-16,0.0014661,0.0027817,0.84277,1,18.848,18.848,0,0
1.1231,2.1675e-14,3.4164e-16,0.0014702,0.0028003,0.84203,1,18.972,18.972,0,0
1.1238,2.1688e-14,3.4185e-16,0.0014768,0.0028321,0.8413,1,19.096,19.096,0,0
1.1245,2.1701e-14,3.4206e-16,0.0014838,0.0028645,0.84056,1,19.22,19.22,0,0
1.1252,2.1715e-14,3.4226e-16,0.0014923,0.0029001,0.83982,1,19.344,19.344,0,0
1.1259,2.1728e-14,3.4247e-16,0.0015009,0.0029357,0.83908,1,19.468,19.468,0,0
1.1266,2.1741e-14,3.4268e-16,0.0015096,0.0029538,0.83834,1,19.592,19.592,0,0
1.1272,2.1754e-14,3.4289e-16,0.0015184,0.0029659,0.83759,1,19.716,19.716,0,0
1.1279,2.1767e-14,3.431e-16,0.0015277,0.0029706,0.83684,1,19.84,19.84,0,0
1.1286,2.1781e-14,3.4331e-16,0.0015377,0.0029596,0.83609,1,19.964,19.964,0,0
1.1293,2.1794e-14,3.4351e-16,0.0015478,0.0029486,0.83534,1,20.088,20.088,0,0
1.13,2.1807e-14,3.4372e-16,0.0015572,0.0029257,0.83458,1,20.212,20.212,0,0
1.1306,2.182e-14,3.4393e-16,0.0015665,0.0029016,0.83383,1,20.336,20.336,0,0
1.1313,2.1833e-14,3.4413e-16,0.0015745,0.0028854,0.83308,1,20.46,20.46,0,0
1.132,2.1846e-14,3.4434e-16,0.0015811,0.0028778,0.83234,1,20.584,20.584,0,0
1.1327,2.1859e-14,3.4454e-16,0.0015871,0.0028701,0.83159,1,20.708,20.708,0,0
1.1333,2.1872e-14,3.4475e-16,0.0015847,0.0028604,0.83084,1,20.832,20.832,0,0
1.134,2.1885e-14,3.4495e-16,0.0015824,0.0028507,0.8301,1,20.956,20.956,0,0
1.1347,2.1898e-14,3.4515e-16,0.0015808,0.0028443,0.82935,1,21.08,21.08,0,0
1.1353,2.1911e-14,3.4536e-16,0.0015796,0.0028396,0.8286,1,21.204,21.204,0,0
1.136,2.1924e-14,3.4556e-16,0.0015786,0.0028354,0.82785,1,21.328,21.328,0,0
1.1367,2.1936e-14,3.4576e-16,0.0015785,0.0028326,0.8271,1,21.452,21.452,0,0
1.1373,2.1949e-14,3.4596e-16,0.0015783,0.0028298,0.82635,1,21.576,21.576,0,0
1.138,2.1962e-14,3.4616e-16,0.0015782,0.0028266,0.8256,1,21.7,21.7,0,0
1.1386,2.1975e-14,3.4636e-16,0.0015782,0.0028233,0.82484,1,21.824,21.824,0,0
1.1393,2.1987e-14,3.4656e-16,0.0015784,0.0028202,0.82409,1,21.948,21.948,0,0
1.14,2.2e-14,3.4676e-16,0.0015789,0.0028174,0.82334,1,22.072,22.072,0,0
1.1406,2.2012e-14,3.4696e-16,0.0015794,0.0028147,0.82259,1,22.196,22.196,0,0
1.1413,2.2025e-14,3.4715e-16,0.0015806,0.002809,0.82183,1,22.32,22.32,0,0
1.1419,2.2037e-14,3.4735e-16,0.0015818,0.0028032,0.82107,1,22.444,22.444,0,0
1.1426,2.205e-14,3.4755e-16,0.0015833,0.0027846,0.82032,1,22.568,22.568,0,0
1.1432,2.2062e-14,3.4774e-16,0.0015849,0.0027556,0.81956,1,22.692,22.692,0,0
1.1438,2.2075e-14,3.4794e-16,0.0015878,0.0027268,0.81881,1,22.816,22.816,0,0
1.1445,2.2087e-14,3.4813e-16,0.0015992,0.002699,0.81806,1,22.94,22.94,0,0
1.1451,2.2099e-14,3.4832e-16,0.0016107,0.0026713,0.81731,1,23.064,23.064,0,0
1.1457,2.2111e-14,3.4851e-16,0.0016257,0.0026768,0.81657,1,23.188,23.188,0,0
1.1464,2.2123e-14,3.487e-16,0.0016422,0.0026959,0.81582,1,23.312,23.312,0,0
1.147,2.2135e-14,3.4889e-16,0.0016566,0.0027214,0.81508,1,23.436,23.436,0,0
1.1476,2.2147e-14,3.4908e-16,0.001666,0.0027626,0.81433,1,23.56,23.56,0,0
1.1482,2.2159e-14,3.4927e-16,0.0016754,0.0028037,0.81358,1,23.684,23.684,0,0
