"U:0","U:1","U:2","k","nut","omega","p","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0771,2.0786e-14,3.2763e-16,0.0021296,0.00425,0.50107,0.85792,0,1,11.284,11.284,0,0
1.078,2.0803e-14,3.279e-16,0.0021202,0.0042437,0.49961,0.85703,0,1,11.408,11.408,0,0
1.0788,2.082e-14,3.2817e-16,0.0021111,0.0042372,0.49822,0.85615,0,1,11.532,11.532,0,0
1.0797,2.0838e-14,3.2844e-16,0.002102,0.0042308,0.49682,0.85527,0,1,11.656,11.656,0,0
1.0806,2.0855e-14,3.2871e-16,0.002093,0.0042243,0.49547,0.8544,0,1,11.78,11.78,0,0
1.0815,2.0872e-14,3.2898e-16,0.0020842,0.0042177,0.49414,0.85352,0,1,11.904,11.904,0,0
1.0824,2.0889e-14,3.2924e-16,0.0020753,0.0042111,0.49282,0.85265,0,1,12.028,12.028,0,0
1.0832,2.0905e-14,3.2951e-16,0.0020667,0.0042044,0.49155,0.85178,0,1,12.152,12.152,0,0
1.0841,2.0922e-14,3.2977e-16,0.002058,0.0041976,0.49028,0.85091,0,1,12.276,12.276,0,0
1.085,2.0939e-14,3.3004e-16,0.0020495,0.0041908,0.48905,0.85004,0,1,12.4,12.4,0,0
1.0858,2.0955e-14,3.303e-16,0.0020411,0.0041839,0.48784,0.84917,0,1,12.524,12.524,0,0
1.0867,2.0972e-14,3.3056e-16,0.0020327,0.0041769,0.48664,0.84831,0,1,12.648,12.648,0,0
1.0876,2.0989e-14,3.3082e-16,0.0020244,0.0041698,0.48548,0.84745,0,1,12.772,12.772,0,0
1.0884,2.1005e-14,3.3108e-16,0.0020161,0.0041627,0.48433,0.84659,0,1,12.896,12.896,0,0
1.0893,2.1021e-14,3.3134e-16,0.002008,0.0041555,0.48321,0.84573,0,1,13.02,13.02,0,0
1.0901,2.1038e-14,3.3159e-16,0.0019999,0.0041483,0.4821,0.84488,0,1,13.144,13.144,0,0
1.0909,2.1054e-14,3.3185e-16,0.0019919,0.0041409,0.48102,0.84402,0,1,13.268,13.268,0,0
1.0918,2.107e-14,3.321e-16,0.0019839,0.0041334,0.47997,0.84317,0,1,13.392,13.392,0,0
1.0926,2.1086e-14,3.3236e-16,0.001976,0.0041259,0.47892,0.84232,0,1,13.516,13.516,0,0
1.0934,2.1102e-14,3.3261e-16,0.0019682,0.0041184,0.4779,0.84148,0,1,13.64,13.64,0,0
1.0943,2.1118e-14,3.3286e-16,0.0019604,0.0041108,0.47689,0.84063,0,1,13.764,13.764,0,0
1.0951,2.1134e-14,3.3311e-16,0.0019527,0.004103,0.47591,0.83979,0,1,13.888,13.888,0,0
1.0959,2.115e-14,3.3336e-16,0.001945,0.0040952,0.47495,0.83894,0,1,14.012,14.012,0,0
1.0967,2.1166e-14,3.3361e-16,0.0019374,0.0040873,0.47401,0.8381,0,1,14.136,14.136,0,0
1.0975,2.1181e-14,3.3386e-16,0.0019299,0.0040793,0.47309,0.83726,0,1,14.26,14.26,0,0
1.0984,2.1197e-14,3.341e-16,0.0019224,0.0040713,0.47218,0.83643,0,1,14.384,14.384,0,0
1.0992,2.1212e-14,3.3435e-16,0.0019151,0.0040632,0.47131,0.83559,0,1,14.508,14.508,0,0
1.1,2.1228e-14,3.3459e-16,0.0019078,0.0040551,0.47045,0.83476,0,1,14.632,14.632,0,0
1.1007,2.1243e-14,3.3483e-16,0.0019005,0.0040469,0.46961,0.83393,0,1,14.756,14.756,0,0
1.1015,2.1258e-14,3.3507e-16,0.0018933,0.0040385,0.46881,0.8331,0,1,14.88,14.88,0,0
1.1023,2.1274e-14,3.3531e-16,0.0018861,0.0040302,0.468,0.83228,0,1,15.004,15.004,0,0
